eventtype,tick,timestamp,taskid,object,value,src
EVT_TASK_CREATE,0,0,esp_timer,Killer,0,TASK
EVT_TASK_CREATE,0,0,esp_timer,Flush,0,TASK
EVT_TASK_CREATE,0,0,esp_timer,Bus,0,TASK
EVT_TASK_CREATE,0,0,esp_timer,Cycle,0,TASK
EVT_TASK_CREATE,0,0,esp_timer,printer,0,TASK
EVT_TASK_CREATE,0,0,esp_timer,IDLE,0,TASK
traceTASK_SWITCHED_IN,0,0,esp_timer,0x0,0,TASK
traceTASK_SWITCHED_OUT,0,0,esp_timer,0x0,0,TASK
traceTASK_SWITCHED_IN,0,0,esp_timer,0x0,0,TASK
traceTASK_SWITCHED_OUT,0,0,esp_timer,0x0,0,TASK
traceTASK_SWITCHED_IN,0,0,Killer,0x0,0,TASK
EVT_TASK_DELAY,0,0,Killer,0x0,10000,TASK
traceTASK_SWITCHED_OUT,0,0,Killer,0x0,0,TASK
traceTASK_SWITCHED_IN,0,0,printer,0x0,0,TASK
traceTASK_SWITCHED_OUT,0,0,printer,0x0,0,TASK
traceTASK_SWITCHED_IN,0,0,Bus,0x0,0,TASK
EVT_QUEUE_SEND,0,0,Bus,0x3ffd14e0,0,TASK
traceTASK_SWITCHED_OUT,0,0,Bus,0x0,0,TASK
traceTASK_SWITCHED_IN,0,0,printer,0x0,0,TASK
EVT_QUEUE_RECEIVE,0,0,printer,0x3ffd14e0,0,TASK
EVT_QUEUE_SEND,0,0,printer,0x3ffb6a9c,0,TASK
EVT_QUEUE_SEND,0,0,printer,0x3ffb7f8c,0,TASK
EVT_QUEUE_SEND,6,6000,printer,0x3ffb7f8c,0,TASK
EVT_QUEUE_SEND,6,6000,printer,0x3ffb68cc,0,TASK
traceTASK_SWITCHED_OUT,6,6000,printer,0x0,0,TASK
traceTASK_SWITCHED_IN,6,6000,Cycle,0x0,0,TASK
EVT_QUEUE_SEND,6,6000,Cycle,0x3ffd14e0,0,TASK
traceTASK_SWITCHED_OUT,6,6000,Cycle,0x0,0,TASK
traceTASK_SWITCHED_IN,6,6000,printer,0x0,0,TASK
EVT_QUEUE_RECEIVE,6,6000,printer,0x3ffd14e0,0,TASK
EVT_QUEUE_SEND,6,6000,printer,0x3ffb6a9c,0,TASK
EVT_QUEUE_SEND,12,12000,printer,0x3ffb7f8c,0,TASK
EVT_QUEUE_SEND,12,12000,printer,0x3ffb68cc,0,TASK
traceTASK_SWITCHED_OUT,12,12000,printer,0x0,0,TASK
traceTASK_SWITCHED_IN,12,12000,Bus,0x0,0,TASK
EVT_TASK_DELAY_UNTIL,12,12000,Bus,0x0,200,TASK
traceTASK_SWITCHED_OUT,12,12000,Bus,0x0,0,TASK
traceTASK_SWITCHED_IN,12,12000,Cycle,0x0,0,TASK
EVT_TASK_DELAY_UNTIL,12,12000,Cycle,0x0,306,TASK
traceTASK_SWITCHED_OUT,12,12000,Cycle,0x0,0,TASK
traceTASK_SWITCHED_IN,12,12000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_OUT,200,200000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_IN,200,200000,Bus,0x0,0,TASK
EVT_QUEUE_SEND,200,200000,Bus,0x3ffd14e0,0,TASK
traceTASK_SWITCHED_OUT,200,200000,Bus,0x0,0,TASK
